category,discounted_price,actual_price,discount_percentage,rating
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1499.0,3999.0,63.0,3.7
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",8499.0,15999.0,47.0,4.3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",20990.0,44990.0,53.0,4.1
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32999.0,44999.0,27.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",799.0,1700.0,53.0,4.1
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",229.0,595.0,62.0,4.3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",9999.0,27990.0,64.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.0,599.0,42.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",489.0,1200.0,59.0,4.4
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",23999.0,34990.0,31.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,999.0,60.0,4.3
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,349.0,1299.0,73.0,4.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.0,299.0,40.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,689.0,1500.0,54.0,4.2
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",30990.0,49990.0,38.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249.0,931.0,73.0,3.9
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",999.0,2399.0,58.0,4.6
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.0,399.0,0.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.0,699.0,50.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64.0,4.1
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1699.0,2999.0,43.0,4.4
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",655.0,1099.0,40.0,3.2
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,749.0,1339.0,44.0,4.2
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",9999.0,12999.0,23.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",195.0,499.0,61.0,3.7
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,999.0,2100.0,52.0,4.5
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.0,899.0,44.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",416.0,599.0,31.0,4.2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,368.0,699.0,47.0,4.2
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",29990.0,65000.0,54.0,4.1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,339.0,1099.0,69.0,4.3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",15490.0,20900.0,26.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.0,1299.0,62.0,4.3
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,249.0,399.0,38.0,3.4
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.0,799.0,50.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1499.0,1999.0,25.0,4.4
"Electronics|HomeTheater,TV&Video|Projectors",9490.0,15990.0,41.0,3.9
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",637.0,1499.0,58.0,4.1
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.0,899.0,56.0,3.9
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",1089.0,1600.0,32.0,4.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,339.0,999.0,66.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,499.0,70.0,4.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,399.0,63.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599.0,849.0,29.0,4.5
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.0,1199.0,75.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1299.0,69.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",339.0,1999.0,83.0,4.0
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",12499.0,22990.0,46.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249.0,399.0,38.0,4.0
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1399.0,2499.0,44.0,4.4
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32999.0,47990.0,31.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,399.0,63.0,4.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,325.0,999.0,67.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1999.0,80.0,5.0
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,199.0,499.0,60.0,3.7
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,88.0,299.0,71.0,4.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64.0,4.1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,57.89,199.0,71.0,4.0
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",799.0,1999.0,60.0,3.3
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",205.0,499.0,59.0,3.8
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,699.0,57.0,4.1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,849.0,999.0,15.0,4.1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,949.0,1999.0,53.0,4.4
